FORWARD PAYMENT 35
FORWARD SUCCESS  38
FORWARD PAYMENT 42
FORWARD PAYMENT 35
FORWARD PAYMENT 39
FORWARD PAYMENT 41
FORWARD SUCCESS  31
FORWARD PAYMENT 35
FORWARD PAYMENT 42
FORWARD SUCCESS  34
FORWARD PAYMENT 22
FORWARD SUCCESS  31
FORWARD PAYMENT 41
FORWARD PAYMENT 40
FORWARD PAYMENT 40
FORWARD SUCCESS  34
FORWARD PAYMENT 42
FORWARD PAYMENT 39
FORWARD PAYMENT 22
FORWARD SUCCESS  37
FORWARD PAYMENT 41
FORWARD PAYMENT 35
RECEIVE SUCCESS 38
FORWARD PAYMENT 43
FORWARD PAYMENT 39
FORWARD PAYMENT 42
FORWARD PAYMENT 43
RECEIVE PAYMENT 41
RECEIVE SUCCESS 31
FORWARD PAYMENT 35
FORWARD PAYMENT 40
RECEIVE PAYMENT 42
FORWARD SUCCESS  37
FORWARD SUCCESS  34
FORWARD SUCCESS  41
FORWARD PAYMENT 22
FORWARD PAYMENT 40
FORWARD PAYMENT 43
RECEIVE PAYMENT 39
FORWARD SUCCESS  37
FORWARD PAYMENT 35
Not enough balance in channel 27905
RECEIVE SUCCESS 34
FORWARD SUCCESS  41
FORWARD SUCCESS  42
FORWARD SUCCESS  41
FORWARD FAIL 35
FINDROUTE 44
SEND PAYMENT 44
FORWARD SUCCESS  42
FORWARD PAYMENT 40
FORWARD PAYMENT 40
FORWARD SUCCESS  41
FORWARD SUCCESS  39
FORWARD PAYMENT 43
FORWARD PAYMENT 22
RECEIVE PAYMENT 22
FORWARD SUCCESS  37
FORWARD SUCCESS  37
FORWARD SUCCESS  22
FORWARD SUCCESS  42
FINDROUTE 45
SEND PAYMENT 45
FORWARD SUCCESS  39
FORWARD FAIL 35
FORWARD SUCCESS  42
FINDROUTE 46
SEND PAYMENT 46
FORWARD PAYMENT 43
FORWARD PAYMENT 40
FORWARD PAYMENT 44
FORWARD FAIL 35
FORWARD SUCCESS  39
